date,country_region,country_region_code,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,sub_region_3,sub_region_3_code,place_id,sni_covid19_vaccination,sni_vaccination_intent,sni_safety_side_effects
2022-03-07,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,17.999,4.482,1.414
2023-04-03,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.247,1.708,0.393
2021-12-20,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,82.066,23.727,5.94
2021-03-29,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,56.781,14.299,11.445
2021-04-05,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,57.782,13.011,11.357
2021-12-13,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,233.303,93.753,8.344
2022-09-19,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,20.976,7.016,1.357
2023-05-01,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.684,1.693,0.471
2021-03-01,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,81.675,22.512,11.806
2021-06-14,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,77.231,32.494,12.713
2022-05-23,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,15.444,4.226,0.986
2021-05-10,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,68.855,20.826,14.473
2022-01-17,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,73.932,45.795,2.752
2021-10-18,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,65.976,14.218,4.315
2022-02-14,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,20.421,4.245,1.597
2023-08-07,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,3.717,,
2021-05-17,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,82.099,27.186,15.325
2022-07-11,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,16.439,4.86,1.081
2021-09-20,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,33.252,9.482,4.667
2021-12-27,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,49.914,15.106,3.663
2022-09-12,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,23.369,8.284,1.026
2022-06-13,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,13.79,4.128,0.837
2023-07-31,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,2.587,,
2021-11-01,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,64.094,14.023,3.502
2023-04-17,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,10.028,3.429,0.918
2023-02-20,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,4.086,0.732,0.366
2023-06-12,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,4.814,1.115,0.404
2022-04-04,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,26.45,6.705,1.612
2022-04-18,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,21.454,6.793,1.52
2021-03-22,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,64.608,15.487,12.911
2022-05-16,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,17.424,4.834,0.94
2021-05-24,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,70.767,19.209,14.468
2023-02-27,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,3.929,0.518,0.405
2021-01-25,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,59.338,6.649,6.189
2022-10-10,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,34.568,16.766,2.592
2022-03-28,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,25.822,6.289,1.527
2023-07-17,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,2.572,,
2023-01-30,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,7.989,2.399,0.649
2021-07-05,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,64.08,19.108,9.453
2022-05-02,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,19.313,5.642,1.61
2022-08-29,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,11.719,4.014,0.585
2023-07-10,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,2.622,,
2022-06-06,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,14.345,3.791,0.812
2022-07-18,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,13.528,3.389,0.83
2022-05-30,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,13.226,3.671,0.809
2021-11-15,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,72.041,11.742,4.433
2022-05-09,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,17.445,4.962,1.201
2022-12-12,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.984,1.946,0.731
2021-08-02,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,68.303,28.775,7.46
2022-03-14,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,18.313,4.73,1.212
2022-10-31,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,13.683,5.398,1.615
2021-01-11,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,60.595,10.179,6.924
2021-08-30,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,39.494,11.297,6.392
2021-07-19,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,66.548,17.914,10.273
2021-09-06,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,34.748,9.158,5.249
2023-06-05,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.514,1.406,0.511
2022-01-31,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,28.657,5.174,2.144
2021-04-19,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,50.203,14.884,11.986
2022-08-15,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,11.71,2.976,0.969
